date,core,external,core_spy,external_spy
2006-01-03,0.0,0.0,0.014068745003996908,0.014068745003996908
2006-01-04,0.0,0.0,0.002443638656786984,0.002443638656786984
2006-01-05,0.0,0.0,0.006841236140599172,0.006841236140599172
2006-01-06,0.0,0.0,0.0029678225554514714,0.0029678225554514714
2006-01-09,0.0,0.0,-0.0002336084722005527,-0.0002336084722005527
2006-01-10,0.0,0.0,0.004906924215281716,0.004906924215281716
2006-01-11,0.0,0.0,0.00046504417919712715,0.00046504417919712715
2006-01-12,0.0,0.0,-0.003951038115897254,-0.003951038115897254
2006-01-13,0.0,0.0,-0.0028778097534417624,-0.0028778097534417624
2006-01-17,0.0,0.0,-0.00483619344773778,-0.00483619344773778
2006-01-18,0.0,0.0,0.003997491769869965,0.003997491769869965
2006-01-19,0.0,0.0,0.0014833320321647747,0.0014833320321647747
2006-01-20,0.0,0.0,-0.016136576239476175,-0.016136576239476175
2006-01-23,0.0,0.0,0.0033277870216306127,0.0033277870216306127
2006-01-24,0.0,0.0,0.003237779357182502,0.003237779357182502
2006-01-25,0.0,0.0,0.0018891687657429657,0.0018891687657429657
2006-01-26,0.0,0.0,0.002985543683218017,0.002985543683218017
2006-01-27,0.0,0.0,0.006109979633401208,0.006109979633401208
2006-01-30,0.0,0.0,-0.0009342883836811477,-0.0009342883836811477
2006-01-31,0.0,0.0,-0.003896508728179593,-0.003896508728179593
2006-02-01,0.0,0.0,0.0021905805038335835,0.0021905805038335835
2006-02-02,0.0,0.0,-0.011865729898516753,-0.011865729898516753
2006-02-03,0.0,0.0,-0.0011060199083583466,-0.0011060199083583466
2006-02-06,0.0,0.0,-0.0004745333755140635,-0.0004745333755140635
2006-02-07,0.0,0.0,-0.003956322202880225,-0.003956322202880225
2006-02-08,0.0,0.0,0.008261836669844369,0.008261836669844369
2006-02-09,0.0,0.0,-0.003860699653324917,-0.003860699653324917
2006-02-10,0.0,0.0,0.001107332120540816,0.001107332120540816
2006-02-13,0.0,0.0,-0.0008690843011771587,-0.0008690843011771587
2006-02-14,0.0,0.0,0.00948916653487264,0.00948916653487264
2006-02-15,0.0,0.0,0.005326648911170295,0.005326648911170295
2006-02-16,0.0,0.0,0.005843852267414684,0.005843852267414684
2006-02-17,0.0,0.0,0.0002323960027887928,0.0002323960027887928
2006-02-21,0.0,0.0,-0.0027106567534076476,-0.0027106567534076476
2006-02-22,0.0,0.0,0.0038828919779452242,0.0038828919779452242
2006-02-23,0.0,0.0,-0.0012377195018178355,-0.0012377195018178355
2006-02-24,0.0,0.0,0.00224614669661527,0.00224614669661527
2006-02-27,0.0,0.0,-0.0015455950540959051,-0.0015455950540959051
2006-02-28,0.0,0.0,-0.004643962848297156,-0.004643962848297156
2006-03-01,0.0,0.0,0.002332814930015692,0.002332814930015692
2006-03-02,0.0,0.0,-0.001861908456167627,-0.001861908456167627
2006-03-03,0.0,0.0,0.00373076325198185,0.00373076325198185
2006-03-06,0.0,0.0,-0.009447111661762264,-0.009447111661762264
2006-03-07,0.0,0.0,-0.0017198248905565539,-0.0017198248905565539
2006-03-08,0.0,0.0,0.004933437744714331,0.004933437744714331
2006-03-09,0.0,0.0,-0.004753370217408404,-0.004753370217408404
2006-03-10,0.0,0.0,0.008769182586908952,0.008769182586908952
2006-03-13,0.0,0.0,-0.001009003415088472,-0.001009003415088472
2006-03-14,0.0,0.0,0.0111879418848575,0.0111879418848575
2006-03-15,0.0,0.0,0.006377257011140891,0.006377257011140891
2006-03-16,0.0,0.0,-0.0022904260192394554,-0.0022904260192394554
2006-03-17,0.0,0.0,-0.00030609121518232474,-0.00030609121518232474
2006-03-20,0.0,0.0,-0.0022963870177585832,-0.0022963870177585832
2006-03-21,0.0,0.0,-0.006367960718121957,-0.006367960718121957
2006-03-22,0.0,0.0,0.005636630376032903,0.005636630376032903
2006-03-23,0.0,0.0,-0.001919533169533194,-0.001919533169533194
2006-03-24,0.0,0.0,0.00030771597815215657,0.00030771597815215657
2006-03-27,0.0,0.0,-0.0007690532953933404,-0.0007690532953933404
2006-03-28,0.0,0.0,-0.004002155006542107,-0.004002155006542107
2006-03-29,0.0,0.0,0.005409164670427513,0.005409164670427513
2006-03-30,0.0,0.0,-0.0006917223887480395,-0.0006917223887480395
2006-03-31,0.0,0.0,0.00038455622211963636,0.00038455622211963636
2006-04-03,0.0,0.0,-0.0026908587683555085,-0.0026908587683555085
2006-04-04,0.0,0.0,0.006860931236509549,0.006860931236509549
2006-04-05,0.0,0.0,0.0018375315825738259,0.0018375315825738259
2006-04-06,0.0,0.0,0.0016048910966757202,0.0016048910966757202
2006-04-07,0.0,0.0,-0.010300625667633123,-0.010300625667633123
