date,"auction_flow_reversal[hold=1,q=0.15,threshold=1.25,rebalance=1]","auction_flow_reversal[hold=2,q=0.15,threshold=1.25,rebalance=1]","auction_flow_reversal[hold=3,q=0.15,threshold=1.25,rebalance=1]","close_flow_reversal[hold=2,q=0.15,threshold=1.5,rebalance=1]","close_flow_reversal[hold=3,q=0.15,threshold=1.5,rebalance=1]","close_flow_reversal[hold=5,q=0.15,threshold=1.5,rebalance=1]","gap_absorption_reversal[hold=1,q=0.15,threshold=1.25,rebalance=1]","gap_absorption_reversal[hold=2,q=0.15,threshold=1.25,rebalance=1]","dispersion_reversal[hold=2,q=0.2,threshold=1.25,rebalance=1]","dispersion_reversal[hold=3,q=0.2,threshold=1.25,rebalance=1]","idiosyncratic_volatility_carry[hold=20,q=0.2,threshold=0,rebalance=5]","residual_trend[hold=20,q=0.2,threshold=0,rebalance=5]"
2015-01-02,-0.0004,-0.0012101082023262977,-0.0008010258293447452,0.0012047180125241124,0.0015179365125921982,0.0008848886335305791,0.0,0.0,0.0,0.0,0.0,-0.00014349450039871197
2015-01-05,-0.004135233305439075,-0.0020231385715257185,-0.002441286754885893,0.0008763890070109093,0.0005339120736497433,-0.00044991408225515076,0.002822562332467072,0.001411281166233536,-0.0014116543496874054,-0.0009411028997916035,0.0,0.0008261273275783899
2015-01-06,-0.00039999999999999996,0.000376779303498744,0.0001178528689991635,-0.00019999999999999996,0.0003033574062813996,-0.00016100015512588255,0.0005694564768121616,0.002037286840393377,0.0008982580334081717,0.0005988386889387812,0.0,-0.0006266896294241284
2015-01-07,0.0,-0.00019999999999999996,-0.00028051341072864064,0.0,-0.0001333333333333333,-4.528186683646707e-05,-0.0004,-0.00031459425386445926,-0.0005279886458061271,-0.0009714222457706027,0.0,6.523474618690608e-05
2015-01-08,0.0008199067878433091,0.0004099533939216554,0.0002490644312643046,0.0008447816031795678,0.0005631877354530452,3.906347984103324e-05,0.0,-0.0002,0.0009301747367841309,0.0014338683866629452,0.0,-0.0009064304928057123
2015-01-09,-0.003741864985968652,-0.0035280679207905165,-0.00235204528052701,-0.0013740077009140072,-0.0009160051339426714,-0.0006296030803656031,0.0,0.0,-0.00019999999999999998,-0.0005223936905636842,0.0,0.0003860226050179174
2015-01-12,-0.000582323393418776,-0.0009594541430673438,-0.001510500735568992,-0.0002,-0.0004936916092771281,-0.0002962149655662767,0.0,0.0,0.0,-0.0001333333333333333,0.0,0.0013507974365717622
2015-01-13,-0.0004,-0.00113149546028646,-0.001511002790749747,0.0,-0.00013333333333333334,-1.6075185100975073e-05,-0.004177020038559812,-0.002088510019279906,0.0,0.0,0.0,-5.8950990946867636e-05
2015-01-14,-0.003712879654478873,-0.002056439827239435,-0.002269834838445372,0.0,0.0,-0.00011535525640689727,-0.0007878125320176122,-0.0007037969043246622,0.0,0.0,0.0,-0.0007869027069409921
2015-01-15,0.0012201130672807757,0.001373579028907257,0.0007823860192715053,0.005389156459245928,0.0035927709728306194,0.0021295959289795567,-0.0003999999999999999,0.0008449316610149177,0.0,0.0,0.0,0.0005912175078170046
2015-01-16,-0.0013331322798777038,0.0004572616870593404,0.0005453625836851205,0.0016662540626850274,0.0011108360417900179,0.0006665016250740117,0.0,-0.00019999999999999996,-0.0006574457562627884,-0.00043829717084185903,0.0,0.000515331246519932
