date,"auction_flow_reversal[hold=1,q=0.15,threshold=1.25,rebalance=1]","auction_flow_reversal[hold=2,q=0.15,threshold=1.25,rebalance=1]","auction_flow_reversal[hold=3,q=0.15,threshold=1.25,rebalance=1]","close_flow_reversal[hold=2,q=0.15,threshold=1.5,rebalance=1]","close_flow_reversal[hold=3,q=0.15,threshold=1.5,rebalance=1]","close_flow_reversal[hold=5,q=0.15,threshold=1.5,rebalance=1]","gap_absorption_reversal[hold=1,q=0.15,threshold=1.25,rebalance=1]","gap_absorption_reversal[hold=2,q=0.15,threshold=1.25,rebalance=1]","dispersion_reversal[hold=2,q=0.2,threshold=1.25,rebalance=1]","dispersion_reversal[hold=3,q=0.2,threshold=1.25,rebalance=1]","idiosyncratic_volatility_carry[hold=20,q=0.2,threshold=0,rebalance=5]","residual_trend[hold=20,q=0.2,threshold=0,rebalance=5]"
2015-01-02,-0.0004,-0.0005462123789988867,-0.0003641415859992579,-0.0002,-0.0003565556428721413,-0.0002139333857232846,0.0,0.0,0.0,0.0,0.0,-2.492611392298413e-05
2015-01-05,-0.002530562805706933,-0.0012590271951099228,-0.0021690223988883608,0.0,-0.00013333333333333334,0.0002458806250474667,-0.002343554810945904,-0.001171777405472952,0.0,0.0,0.0,0.00089270612845326
2015-01-06,-0.0004,0.00019632734407585455,-2.4484372827636566e-06,0.0,0.0,-7.097931978903714e-05,-0.0004,-0.0005159588765348511,0.0,0.0,0.0,-0.00022864471777804651
2015-01-07,0.0,-0.00020000000000000004,5.138725563631111e-05,0.0,0.0,-8e-05,0.0,-0.0002,0.0,0.0,0.0,-0.0005198190751871342
2015-01-08,0.0,0.0,-0.00013333333333333334,0.0,0.0,0.0,-0.000209191912479964,-0.000104595956239982,0.00019733781064096406,0.00013155854042730966,0.0,-0.0003840603240594096
2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.001350531689717841,-3.962268706781823e-05,-2.6415124711878476e-05,0.0,0.0004779359535419288
2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.0002,0.0004398275607294606,0.0,-0.00016215394780747327
2015-01-13,0.0,0.0,0.0,0.0003932274274215067,0.0002621516182810046,0.00015729097096860235,0.0,0.0,0.0,-0.00013333333333333334,0.0,-2.987485427743106e-05
2015-01-14,0.0,0.0,0.0,-8.97089272403588e-06,-5.980595149357416e-06,-3.588357089614219e-06,0.001513087861688422,0.000756543930844211,0.0,0.0,0.0,0.00022461706736720807
2015-01-15,0.0,0.0,0.0,0.0002492010111734113,0.0008822306190587754,0.0005293383714352651,-0.0004,-0.0003479547170019679,0.0,0.0,0.0,-0.00011724821256487702
2015-01-16,0.0,0.0,0.0,-0.000892949245296778,-0.0006246000713632995,-0.00032928028601381825,0.0,-0.0002,0.0,0.0,0.0,-0.00013833082657950345
2015-01-20,0.0,0.0,0.0,-0.0014862287360403632,-0.0007815216235588751,-0.00033830537658306585,0.0,0.0,0.0,0.0,0.0,-3.5047047250356234e-05
2015-01-21,0.0,0.0,0.0,-0.0011950304976524261,-6.343324028098256e-05,-0.000117888866804349,0.0,0.0,0.0,0.0,0.0,-0.00040946356686689836
2015-01-22,0.0,0.0,0.0,0.0005635805159694688,0.0002423870106463126,0.00036690728227182286,-0.0022579178201491404,-0.0011289589100745702,0.0,0.0,0.0,-0.00018956216048509066
2015-01-23,0.0,0.0,0.0,8.824188640451416e-05,-9.943611392874776e-05,0.0001815606255957834,-0.0004,-0.0005988425050916154,0.00036809393182309145,0.0002453959545487277,0.0,0.0004540449778165523
2015-01-26,0.0,0.0,0.0,-0.0004717283110173893,-0.0004478188740115929,-0.0003044800235653631,0.0,-0.0002,1.9942314242984264e-05,1.3294876161989621e-05,0.0,0.0002003251505085072
2015-01-27,-0.002139014553996651,-0.0010695072769983255,-0.0007130048513322167,-0.0002,-0.000560470517733509,-0.0001079967671231081,0.0,0.0,-0.0002,0.00033371174876686914,0.0,-0.0011209176873974332
2015-01-28,-0.0004,0.0002729059341661137,0.00018193728944407596,-0.0012022592833688187,-0.0008923786912860162,-5.911915217692879e-05,0.0,0.0,0.0,-0.00013333333333333334,0.0,-5.7374280267696986e-05
2015-01-29,-0.001245498226121356,-0.0005303233053213698,-0.0006728920225572844,-0.0013398893901731131,-0.000893259593448742,-0.000667429808496906,0.0,0.0,0.0,0.0,0.0,-0.0002802852919382273
2015-01-30,-0.0004,-0.00013720117644491233,-0.00022480078429660812,-0.00023647737524102425,-0.0007580106110329154,-0.0005348063666197492,0.0,0.0,0.0,0.0,0.0,0.0011989032688895234
